name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g)
Pear Williams 1,58,83.71,0.38,0.12,15.46,3.1,9.8,9,0.17,7,11,119,1
Pepper Green 1,20,93.89,0.86,0.17,4.64,1.7,2.4,10,0.34,10,20,175,3
Peppers Red 1,31,92.21,0.99,0.3,6.03,2.1,4.2,7,0.43,12,26,211,4
Peppers Orange 1,31,92.21,0.99,0.3,6.03,2.1,4.2,7,0.43,12,26,211,4
Pepino 1,30,92.2,0.6,0.1,7.3,1.1,5.1,5,0.3,10,13,229,3
Pepper Yellow 1 ,27,92.02,1,0.21,6.32,0.9,0,11,0.46,12,24,212,2
Physalis 1,53,78,1.9,0.7,11.2,4.9,9.2,9,1,20,40,268,1
Physalis with Husk 1,53,78,1.9,0.7,11.2,4.9,9.2,9,1,20,40,268,1
Pineapple 1,50,86,0.54,0.12,13.12,1.4,9.85,13,0.29,12,8,109,1
Pineapple Mini 1,50,86,0.54,0.12,13.12,1.4,9.85,13,0.29,12,8,109,1
Pitahaya Red 1,50,90.1,1.2,0.4,11,3,8,18,0.4,10,25,191,14
Plum 1,46,87.2,0.7,0.3,11.4,1.4,9.9,6,0.2,7,16,157,0
Plum 2,46,87.2,0.7,0.3,11.4,1.4,9.9,6,0.2,7,16,157,0
Plum 3,46,87.2,0.7,0.3,11.4,1.4,9.9,6,0.2,7,16,157,0
Pomegranate 1,83,77.93,1.67,1.17,18.7,4,13.67,10,0.3,12,36,236,3
Pomelo Sweetie 1,38,89.1,0.8,0.04,9.6,1,7.5,4,0.1,6,17,216,1
Potato Red 1 ,86,77.46,1.71,0.1,20.01,1.8,0.85,8,0.31,20,40,328,5
Potato Red Washed 1 ,86,77.46,1.71,0.1,20.01,1.8,0.85,8,0.31,20,40,328,5
Potato Sweet 1 ,76,80.13,1.37,0.14,17.72,2.5,5.74,27,0.72,18,32,230,27
Potato White 1 ,86,77.46,1.71,0.1,20.01,1.8,0.85,8,0.31,20,40,328,5
Quince 1,57,83.8,0.4,0.1,15.3,1.9,0,11,0.7,8,17,197,4
Rambutan 1,68,78,0.9,0.2,16.5,0.9,13.6,22,0.4,7,9,42,11
Raspberry 1,52,85.75,1.2,0.65,11.94,6.5,4.42,25,0.69,22,29,151,1
Redcurrant 1,56,83.9,1.4,0.2,13.8,4.3,7.4,33,1,13,44,275,1
Salak 1,82,77,0.7,0.4,22.2,2.6,12.2,38,3.9,18,36,300,7
Strawberry 1,32,90.95,0.67,0.3,7.68,2,4.89,16,0.41,13,24,153,1
Strawberry Wedge 1,32,90.95,0.67,0.3,7.68,2,4.89,16,0.41,13,24,153,1
Tamarillo 1,31,89,1,0.3,6.6,1.6,4.3,7,0.6,17,26,321,1
Tangelo 1,47,87,0.8,0.2,11.9,1.7,8.9,40,0.1,12,17,166,1
Tomato 1,18,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5
Tomato 2,79,80.63,1.96,2.68,13.05,1.7,0,26,1.06,15,38,247,455
Tomato 3,79,80.63,1.96,2.68,13.05,1.7,0,26,1.06,15,38,247,455
Tomato 4,18,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5
Tomato Cherry Red 1 ,18,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5
Tomato Heart 1 ,18,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5
Tomato Maroon 1,18,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5
Tomato not Ripened 1,79,80.63,1.96,2.68,13.05,1.7,0,26,1.06,15,38,247,455
Tomato Yellow 1,79,80.63,1.96,2.68,13.05,1.7,0,26,1.06,15,38,247,455
Walnut 1,654,4.1,15.2,65.2,13.7,6.7,2.6,98,2.9,158,346,441,2
Watermelon 1,30,91.45,0.61,0.15,7.55,0.4,6.2,7,0.24,10,11,112,1
Zucchini 1,17,94.8,1.2,0.3,3.1,1,2.5,16,0.4,18,38,261,3
Zucchini dark 1,17,94.8,1.2,0.3,3.1,1,2.5,16,0.4,18,38,261,3
